track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),Latto_ Jung Kook,2,2023,7,14,553,147,141381703,125,B,80,89,83,31,0,8,4
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,92,C#,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,138,F,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,170,A,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,144,A,65,23,80,14,63,11,6
Sprinter,Dave_ Central Cee,2,2023,6,1,2186,91,183706234,141,C#,92,66,58,19,0,8,24
Ella Baila Sola,Eslabon Armado_ Peso Pluma,2,2023,3,16,3090,50,725980112,148,F,67,83,76,48,0,8,3
Columbia,Quevedo,1,2023,7,7,714,43,58149378,100,F,67,26,71,37,0,11,4
fukumean,Gunna,1,2023,5,15,1096,83,95217315,130,C#,85,22,62,12,0,28,9
La Bebe - Remix,Peso Pluma_ Yng Lvcas,2,2023,3,17,2953,44,553634067,170,D,81,56,48,21,0,8,33
un x100to,Bad Bunny_ Grupo Frontera,2,2023,4,17,2876,40,505671438,83,F#,57,56,72,23,0,27,5
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,150,F,78,52,82,18,0,15,7
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,118,,71,65,68,6,0,3,7
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,130,D,51,32,43,83,0,9,3
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,174,F#,52,66,73,34,0,31,6
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,89,G#,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,120,B,78,76,59,43,0,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,78,,44,14,9,96,0,10,3
Classy 101,Feid_ Young Miko,2,2023,3,31,2610,40,335222234,100,B,86,67,66,14,0,12,16
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,120,G,63,36,73,0,0,36,4
LADY GAGA,Gabito Ballesteros_ Junior H_ Peso Pluma,3,2023,6,22,332,26,86444842,140,F,65,87,74,22,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,123,F#,69,82,76,6,0,6,3
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,135,,48,44,42,12,2,11,3
Peso Pluma: Bzrp Music Sessions_ Vol. 55,Bizarrap_ Peso Pluma,2,2023,5,31,1313,40,200647221,133,F,85,81,67,26,0,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd_ Madonna_ Playboi Carti,3,2023,6,2,1945,87,115364561,99,C#,85,83,68,7,0,36,20
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,130,G,79,96,86,9,0,9,9
Calm Down (with Selena Gomez),Rï¿½ï¿½ma_ Selena G,2,2022,3,25,7112,77,899183384,107,B,80,82,80,43,0,14,4
MOJABI GHOST,Tainy_ Bad Bunny,2,2023,6,29,859,40,61245289,122,F#,81,74,71,14,0,56,4
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,204,F#,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,110,B,67,78,85,2,0,33,5
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,126,F,74,35,84,0,0,11,6
TULUM,Peso Pluma_ Grupo Frontera,2,2023,6,28,266,34,52294266,168,F#,56,63,87,39,0,11,5
Creepin',The Weeknd_ 21 Savage_ Metro Boomin,3,2022,12,2,6036,88,843957510,98,C#,71,17,61,36,0,8,5
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,97,E,64,51,63,12,0,19,5
TQG,Karol G_ Shakira,2,2023,2,23,4284,49,618990393,180,E,72,61,63,67,0,9,28
Los del Espacio,Big One_ Duki_ Lit Killah_ Maria Becerra_ FMK_ Rusherking_ Emilia_ Tiago pzk,8,2023,6,1,1150,31,123122413,120,,81,63,68,11,0,11,4
Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia_ Grupo Frontera,2,2023,4,7,672,34,188933502,150,F#,61,39,73,37,0,11,3
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,96,F,75,57,68,9,0,13,6
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,95,D,60,48,79,0,0,12,4
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,125,F,79,96,85,27,0,11,6
El Azul,Junior H_ Peso Pluma,2,2023,2,10,692,25,354495408,144,A,56,84,65,23,0,10,6
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone_ Swae Lee,2,2018,10,9,24094,78,2808096550,90,D,76,91,50,54,0,7,5
I'm Good (Blue),Bebe Rexha_ David Guetta,2,2022,8,26,12482,80,1109433169,128,G,56,38,97,4,0,35,4
See You Again,Tyler_ The Creator_ Kali Uchis,3,2017,7,21,13387,64,1047101291,79,F#,56,58,56,37,0,11,10
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj_ Aqua_ Ice Spice,3,2023,6,23,1117,80,65156199,144,,77,75,58,52,0,23,25
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,122,F,67,49,64,10,0,10,3
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,140,,71,82,81,11,0,6,5
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,134,C#,59,51,52,9,0,15,7
Starboy,The Weeknd_ Daft Punk,2,2016,9,21,29536,79,2565529693,186,G,68,49,59,16,0,13,28
Die For You - Remix,Ariana Grande_ The Weeknd,2,2023,2,24,3408,47,518745108,67,C#,53,50,53,23,0,44,7
El Cielo,Feid_ Myke Towers_ Sky Rompiendo,3,2023,6,2,1298,38,107753850,106,A#,72,17,64,7,0,10,5
Baby Don't Hurt Me,David Guetta_ Anne-Marie_ Coi Leray,3,2023,4,6,4277,66,177740666,128,G,60,23,91,0,0,12,3
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,107,F#,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,130,G,67,96,88,12,19,8,4
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,123,E,45,13,54,70,0,9,4
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,171,C#,50,38,80,0,0,9,7
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,137,G,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,125,G,84,85,68,58,0,22,4
S91,Karol G,1,2023,7,14,525,41,16011326,128,,86,42,72,59,0,9,19
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,130,,61,53,58,55,0,27,4
Tï¿½ï¿,dennis_ MC Kevin o Chris,2,2023,5,4,731,15,111947664,130,B,86,59,96,50,1,9,5
Boy's a liar Pt. 2,PinkPantheress_ Ice Spice,2,2023,2,3,5184,41,156338624,133,F,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),Charlie Puth_ BTS_ Jung Kook,3,2022,6,24,3107,39,720434240,101,D,88,72,59,62,0,9,3
BESO,Rauw Alejandro_ ROSALï¿½,2,2023,3,24,4053,50,357925728,95,F,77,53,64,74,0,17,14
Hey Mor,Ozuna_ Feid,2,2022,10,6,4637,38,674072710,98,C#,90,40,59,0,0,10,29
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,173,B,43,28,66,0,0,23,3
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,90,G#,64,10,62,7,0,48,7
People,Libianca,1,2022,12,2,3506,56,373199958,198,A#,59,71,42,55,0,10,7
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,140,C#,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,82,G#,51,22,53,1,0,15,3
BABY HELLO,Rauw Alejandro_ Bizarrap,2,2023,6,23,1004,35,54266102,130,C#,77,84,89,17,0,43,5
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,81,B,76,53,53,44,0,9,9
golden hour,JVKE,1,2022,7,15,4511,36,751134527,94,C#,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,124,A#,61,41,81,5,2,10,3
Quevedo: Bzrp Music Sessions_ Vol. 52,Bizarrap_ Quevedo,2,2022,7,6,8506,45,1356565093,128,D,62,55,78,1,3,23,4
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,138,F,49,42,62,9,0,11,3
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,132,E,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),Sam Smith_ Kim Petras,2,2022,9,22,8576,42,1230675890,131,D,71,24,47,1,0,27,9
Yandel 150,Yandel_ Feid,2,2022,12,20,3618,38,585695368,168,F#,78,58,73,5,0,10,7
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,98,C#,68,40,79,33,0,30,6
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,102,C#,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,Em Beihold_ Stephen Sanchez,2,2022,4,22,2790,30,600976848,101,A#,34,32,57,78,0,20,3
Novidade na ï¿½ï¿,Mc Livinho_ DJ Matt D,2,2023,6,23,267,9,39709092,130,F,63,36,34,76,0,35,9
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,142,D,50,20,64,1,0,12,3
STAY (with Justin Bieber),Justin Bieber_ The Kid Laroi,2,2021,7,9,17050,36,2665343922,170,C#,59,48,76,4,0,10,5
El Merengue,Marshmello_ Manuel Turizo,2,2023,3,3,2114,44,223633238,124,G#,78,70,68,3,1,11,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,110,C#,50,45,41,75,0,11,3
Me Porto Bonito,Chencho Corleone_ Bad Bunny,2,2022,5,6,8870,43,1440757818,92,C#,91,43,71,9,0,9,8
Makeba,Jain,1,2015,6,22,6060,53,165484133,116,D,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,Ayparia_ unxbected,2,2012,6,20,641,50,58054811,129,A,63,84,82,70,8,9,7
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,98,G#,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,172,C#,74,76,76,6,0,10,9
Coco Chanel,Bad Bunny_ Eladio Carrion,2,2023,3,17,1962,38,250305248,150,D,68,14,76,4,0,10,4
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,136,A,62,19,53,11,0,6,4
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,88,C#,53,34,47,9,0,83,4
All My Life (feat. J. Cole),J. Cole_ Lil Durk,2,2023,5,12,2175,23,144565150,143,D#,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,100,F#,49,17,35,71,9,11,3
Snooze,SZA,1,2022,12,9,2839,25,399686758,143,F,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,112,C#,56,24,66,7,0,12,3
Take Two,BTS,1,2023,6,9,674,47,118482347,93,G,62,57,59,3,0,38,3
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,206,G,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),Future_ Metro Boomin_ Don Toliver,3,2022,12,2,2110,58,286400165,88,G,68,17,71,15,0,11,5
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,170,D,50,37,90,0,0,12,5
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,84,E,62,24,67,21,0,13,28
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,134,E,81,53,72,51,0,12,5
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,158,A#,54,50,40,61,0,10,6
Cold Heart - PNAU Remix,Dua Lipa_ Elton John_ Pnau,3,2017,11,10,21097,52,1605224506,116,C#,80,92,80,4,0,10,3
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,117,C#,61,45,69,2,0,9,3
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,114,F,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,108,D,61,47,68,0,0,13,3
Money Trees,Kendrick Lamar_ Jay Rock,2,2012,1,1,26792,32,1093605526,144,E,74,37,53,7,0,21,10
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,130,F,51,18,44,76,0,11,3
LAGUNAS,Jasiel Nuï¿½ï¿½ez_ Peso P,2,2023,6,22,58,18,39058561,116,B,77,79,62,33,1,15,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,121,G,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,112,G,64,54,81,36,0,11,6
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,100,A#,70,47,52,30,0,6,33
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,150,D#,55,30,78,24,0,12,8
Rara Vez,Taiu_ Milo j,2,2023,2,8,893,38,248088961,120,F,84,96,71,18,0,34,17
VAGABUNDO,Sebastian Yatra_ Manuel Turizo_ Beï¿½ï,3,2023,5,12,1094,34,90839753,127,B,82,89,85,4,0,23,6
august,Taylor Swift,1,2020,7,24,7324,22,607123776,90,F,51,42,61,53,0,9,3
LUNA,Junior H_ Peso Pluma,2,2023,6,22,201,11,55842345,128,A,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),Calvin Harris_ Ellie Goulding,2,2023,3,10,5120,48,211050784,143,A,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,139,G#,74,68,68,3,0,26,4
Que Vuelvas,Carin Leon_ Grupo Frontera,2,2022,12,9,763,26,2762,162,A#,49,78,64,19,0,11,4
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,92,,81,39,60,31,0,7,3
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,95,F,87,57,55,10,0,29,7
Can't Hold Us (feat. Ray Dalton),Ray Dalton_ Ryan Lewis_ Macklemore,3,2011,8,16,6074,52,1953533826,146,D,63,88,93,3,0,10,8
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,95,,55,56,82,12,0,34,5
lovely - Bonus Track,Billie Eilish_ Khalid,2,2017,8,11,15032,30,2355719893,115,E,35,12,30,93,0,10,3
Rauw Alejandro: Bzrp Music Sessions_ Vol. 56,Rauw Alejandro_ Bizarrap,2,2023,6,21,871,32,66902503,128,B,78,59,65,10,0,26,5
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,130,E,82,69,83,3,0,27,5
OMG,NewJeans,1,2023,1,2,1783,27,430977451,127,A,80,74,77,36,0,11,4
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,150,D,42,20,86,21,0,9,9
Shakira: Bzrp Music Sessions_ Vol. 53,Shakira_ Bizarrap,2,2023,1,11,5724,44,721975598,122,D,78,50,63,27,0,9,5
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,140,,52,20,85,0,0,7,5
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee_ NAV_ feat. A Boogie Wit da Hoodie),Swae Lee_ A Boogie Wit da Hoodie_ Metro Boomin_ NAV,4,2023,6,2,1051,16,109276132,140,,63,22,54,46,0,12,8
Trance (with Travis Scott & Young Thug),Travis Scott_ Young Thug_ Metro Boomin,3,2022,12,2,1682,46,276259178,119,C#,75,48,53,18,0,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar_ Shadab Faridi_ Altamash Faridi_ Amitabh Bhattacharya_ Varun Jain,5,2023,5,22,182,8,54225632,110,G,76,96,72,32,0,9,4
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,95,G#,60,17,45,16,0,11,2
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,132,F#,56,20,55,45,1,32,3
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,125,A#,77,74,78,4,0,23,11
Novo Balanï¿½,Veigh_ Bvga Beatz_ Supernova Ent_ Prod Malax,4,2023,5,19,283,7,81102253,124,D#,84,65,50,67,0,13,6
Gol Bolinha_ Gol Quadrado 2,Mc Pedrinho_ DJ 900,2,2023,6,1,293,8,11956641,133,B,93,68,65,42,0,12,25
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,112,G,92,67,66,0,0,36,9
QUEMA,Sog_ Ryan Castro_ Peso Pluma,3,2023,7,13,437,31,11599388,97,,79,92,89,5,0,6,5
Stargirl Interlude,The Weeknd_ Lana Del Rey,2,2016,11,24,1275,32,611700552,90,F,59,52,48,38,5,10,11
Ojitos Lindos,Bomba Estï¿½ï¿½reo_ Bad B,2,2022,5,6,6135,38,1133865788,80,D#,65,27,69,8,0,53,4
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,172,A,45,33,59,6,0,8,3
Those Eyes,New West,1,2019,5,10,1507,14,411747614,120,E,60,24,35,73,0,31,3
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,140,G,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,128,A,81,90,77,1,0,9,5
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,122,,78,70,81,57,0,10,5
Danza Kuduro,Don Omar_ Lucenzo,2,2010,1,1,17138,37,1279434863,130,,47,86,92,8,0,5,24
Nosso Quadro,Ana Castela_ AgroPlay,2,2023,2,2,894,9,233801632,160,A,69,61,71,33,0,31,20
